route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,road_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
15,4,Providence,RI,41.824,-71.4128,0.01061,3,Boston,MA,42.3601,-71.0589,0.00871,50.36,50.36,-0.0019,-3.8e-05,45.02,1.12,1.15,1
16,3,Boston,MA,42.3601,-71.0589,0.00871,5,Hartford,CT,41.7658,-72.6734,0.01117,100.06,100.06,0.00246,2.5e-05,44.99,2.22,2.05,1
17,5,Hartford,CT,41.7658,-72.6734,0.01117,3,Boston,MA,42.3601,-71.0589,0.00871,100.06,100.05,-0.00246,-2.5e-05,45.01,2.22,2.05,1
18,3,Boston,MA,42.3601,-71.0589,0.00871,6,New York City,NY,40.7128,-74.006,0.00625,214.27,214.27,-0.00246,-1.1e-05,45.01,4.76,4.7,1
19,6,New York City,NY,40.7128,-74.006,0.00625,3,Boston,MA,42.3601,-71.0589,0.00871,214.27,214.28,0.00246,1.1e-05,44.99,4.76,4.7,1
20,3,Boston,MA,42.3601,-71.0589,0.00871,7,Albany,NY,42.6526,-73.7562,0.05227,168.5,168.54,0.04356,0.000259,44.88,3.76,3.38,1
21,7,Albany,NY,42.6526,-73.7562,0.05227,3,Boston,MA,42.3601,-71.0589,0.00871,168.5,168.45,-0.04356,-0.000259,45.12,3.73,3.38,1
22,3,Boston,MA,42.3601,-71.0589,0.00871,8,Buffalo,NY,42.8864,-78.8784,0.11364,454.68,454.79,0.10493,0.000231,44.9,10.13,8.91,2
23,8,Buffalo,NY,42.8864,-78.8784,0.11364,3,Boston,MA,42.3601,-71.0589,0.00871,454.68,454.58,-0.10493,-0.000231,45.1,10.08,8.91,2
24,4,Providence,RI,41.824,-71.4128,0.01061,5,Hartford,CT,41.7658,-72.6734,0.01117,73.81,73.81,0.00056,8e-06,45.0,1.64,1.64,1
25,5,Hartford,CT,41.7658,-72.6734,0.01117,4,Providence,RI,41.824,-71.4128,0.01061,73.81,73.81,-0.00056,-8e-06,45.0,1.64,1.64,1
26,5,Hartford,CT,41.7658,-72.6734,0.01117,6,New York City,NY,40.7128,-74.006,0.00625,116.26,116.26,-0.00492,-4.2e-05,45.02,2.58,2.72,1
27,6,New York City,NY,40.7128,-74.006,0.00625,5,Hartford,CT,41.7658,-72.6734,0.01117,116.26,116.27,0.00492,4.2e-05,44.98,2.58,2.72,1
28,5,Hartford,CT,41.7658,-72.6734,0.01117,7,Albany,NY,42.6526,-73.7562,0.05227,111.84,111.88,0.0411,0.000367,44.83,2.5,2.28,1
29,7,Albany,NY,42.6526,-73.7562,0.05227,5,Hartford,CT,41.7658,-72.6734,0.01117,111.84,111.8,-0.0411,-0.000367,45.17,2.48,2.28,1
30,5,Hartford,CT,41.7658,-72.6734,0.01117,8,Buffalo,NY,42.8864,-78.8784,0.11364,398.02,398.13,0.10247,0.000257,44.88,8.87,7.81,1
31,8,Buffalo,NY,42.8864,-78.8784,0.11364,5,Hartford,CT,41.7658,-72.6734,0.01117,398.02,397.92,-0.10247,-0.000257,45.12,8.82,7.81,1
32,6,New York City,NY,40.7128,-74.006,0.00625,9,Philadelphia,PA,39.9526,-75.1652,0.00739,94.52,94.53,0.00114,1.2e-05,44.99,2.1,2.04,1
33,9,Philadelphia,PA,39.9526,-75.1652,0.00739,6,New York City,NY,40.7128,-74.006,0.00625,94.52,94.52,-0.00114,-1.2e-05,45.01,2.1,2.04,1
34,6,New York City,NY,40.7128,-74.006,0.00625,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,371.44,371.66,0.22536,0.000607,44.73,8.31,7.32,1
35,10,Pittsburgh,PA,40.4406,-79.9959,0.23161,6,New York City,NY,40.7128,-74.006,0.00625,371.44,371.21,-0.22536,-0.000607,45.27,8.2,7.32,1
36,6,New York City,NY,40.7128,-74.006,0.00625,11,Newark,NJ,40.7357,-74.1724,0.00568,10.32,10.32,-0.00057,-5.5e-05,45.02,0.23,0.37,1
37,11,Newark,NJ,40.7357,-74.1724,0.00568,6,New York City,NY,40.7128,-74.006,0.00625,10.32,10.32,0.00057,5.5e-05,44.98,0.23,0.37,1
38,7,Albany,NY,42.6526,-73.7562,0.05227,9,Philadelphia,PA,39.9526,-75.1652,0.00739,231.29,231.24,-0.04488,-0.000194,45.09,5.13,4.71,1
