route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_ft,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_ft,map_distance_miles,real_distance_miles,elevation_change_ft,tan_theta,mpg,gallons_needed,travel_hours,travel_days,best_travel_date,avg_risk_factor
62,10,Pittsburgh,PA,40.4406,-79.9959,1223,11,Newark,NJ,40.7357,-74.1724,30,306.18,305.96,-1193,-0.000738,45.33,6.75,4.08,1,2025-11-01,1.0
63,11,Newark,NJ,40.7357,-74.1724,30,10,Pittsburgh,PA,40.4406,-79.9959,1223,306.18,306.41,1193,0.000738,44.67,6.86,4.09,1,2025-11-01,1.0
64,10,Pittsburgh,PA,40.4406,-79.9959,1223,12,Wilmington,DE,39.7391,-75.5398,100,240.45,240.24,-1123,-0.000885,45.4,5.29,3.2,1,2025-11-01,1.0
65,12,Wilmington,DE,39.7391,-75.5398,100,10,Pittsburgh,PA,40.4406,-79.9959,1223,240.45,240.67,1123,0.000885,44.6,5.4,3.21,1,2025-11-01,1.0
66,10,Pittsburgh,PA,40.4406,-79.9959,1223,13,Baltimore,MD,39.2904,-76.6122,33,196.24,196.02,-1190,-0.001148,45.52,4.31,2.61,1,2025-11-02,1.0
67,13,Baltimore,MD,39.2904,-76.6122,33,10,Pittsburgh,PA,40.4406,-79.9959,1223,196.24,196.47,1190,0.001148,44.48,4.42,2.62,1,2025-11-02,1.0
68,10,Pittsburgh,PA,40.4406,-79.9959,1223,15,Charleston,WV,38.3498,-81.6326,597,168.83,168.71,-626,-0.000702,45.32,3.72,2.25,1,2025-11-01,1.0
69,15,Charleston,WV,38.3498,-81.6326,597,10,Pittsburgh,PA,40.4406,-79.9959,1223,168.83,168.95,626,0.000702,44.68,3.78,2.25,1,2025-11-01,1.0
70,10,Pittsburgh,PA,40.4406,-79.9959,1223,23,Columbus,OH,39.9612,-82.9988,902,161.89,161.83,-321,-0.000376,45.17,3.58,2.16,1,2025-11-01,1.0
71,23,Columbus,OH,39.9612,-82.9988,902,10,Pittsburgh,PA,40.4406,-79.9959,1223,161.89,161.95,321,0.000376,44.83,3.61,2.16,1,2025-11-01,1.0
72,10,Pittsburgh,PA,40.4406,-79.9959,1223,24,Cleveland,OH,41.4993,-81.6944,653,114.9,114.79,-570,-0.00094,45.42,2.53,1.53,1,2025-11-05,1.0
73,24,Cleveland,OH,41.4993,-81.6944,653,10,Pittsburgh,PA,40.4406,-79.9959,1223,114.9,115.01,570,0.00094,44.58,2.58,1.53,1,2025-11-05,1.0
74,11,Newark,NJ,40.7357,-74.1724,30,12,Wilmington,DE,39.7391,-75.5398,100,99.71,99.73,70,0.000133,44.94,2.22,1.33,1,2025-11-01,1.0
75,12,Wilmington,DE,39.7391,-75.5398,100,11,Newark,NJ,40.7357,-74.1724,30,99.71,99.7,-70,-0.000133,45.06,2.21,1.33,1,2025-11-01,1.0
76,12,Wilmington,DE,39.7391,-75.5398,100,13,Baltimore,MD,39.2904,-76.6122,33,65.03,65.02,-67,-0.000195,45.09,1.44,0.87,1,2025-11-01,1.0
77,13,Baltimore,MD,39.2904,-76.6122,33,12,Wilmington,DE,39.7391,-75.5398,100,65.03,65.04,67,0.000195,44.91,1.45,0.87,1,2025-11-01,1.0
78,13,Baltimore,MD,39.2904,-76.6122,33,14,Richmond,VA,37.5407,-77.436,166,128.86,128.88,133,0.000195,44.91,2.87,1.72,1,2025-11-01,1.0
79,14,Richmond,VA,37.5407,-77.436,166,13,Baltimore,MD,39.2904,-76.6122,33,128.86,128.83,-133,-0.000195,45.09,2.86,1.72,1,2025-11-01,1.0
80,13,Baltimore,MD,39.2904,-76.6122,33,15,Charleston,WV,38.3498,-81.6326,597,277.92,278.03,564,0.000384,44.83,6.2,3.71,1,2025-11-01,1.0
81,15,Charleston,WV,38.3498,-81.6326,597,13,Baltimore,MD,39.2904,-76.6122,33,277.92,277.82,-564,-0.000384,45.17,6.15,3.7,1,2025-11-01,1.0
82,14,Richmond,VA,37.5407,-77.436,166,15,Charleston,WV,38.3498,-81.6326,597,235.37,235.45,431,0.000347,44.84,5.25,3.14,1,2025-11-02,1.0
83,15,Charleston,WV,38.3498,-81.6326,597,14,Richmond,VA,37.5407,-77.436,166,235.37,235.29,-431,-0.000347,45.16,5.21,3.14,1,2025-11-02,1.0
84,14,Richmond,VA,37.5407,-77.436,166,16,Charlotte,NC,35.2271,-80.8431,751,247.9,248.01,585,0.000447,44.8,5.54,3.31,1,2025-11-01,1.0
85,16,Charlotte,NC,35.2271,-80.8431,751,14,Richmond,VA,37.5407,-77.436,166,247.9,247.79,-585,-0.000447,45.2,5.48,3.3,1,2025-11-01,1.0
86,14,Richmond,VA,37.5407,-77.436,166,17,Raleigh,NC,35.7796,-78.6382,315,138.73,138.76,149,0.000203,44.91,3.09,1.85,1,2025-11-01,1.0
87,17,Raleigh,NC,35.7796,-78.6382,315,14,Richmond,VA,37.5407,-77.436,166,138.73,138.7,-149,-0.000203,45.09,3.08,1.85,1,2025-11-01,1.0
88,14,Richmond,VA,37.5407,-77.436,166,27,Louisville,KY,38.2527,-85.7585,466,456.27,456.33,300,0.000125,44.94,10.15,6.08,1,2025-11-02,1.0
89,27,Louisville,KY,38.2527,-85.7585,466,14,Richmond,VA,37.5407,-77.436,166,456.27,456.22,-300,-0.000125,45.06,10.13,6.08,1,2025-11-02,1.0
90,14,Richmond,VA,37.5407,-77.436,166,28,Nashville,TN,36.1627,-86.7816,597,525.17,525.25,431,0.000155,44.93,11.69,7.0,1,2025-11-01,1.0
91,28,Nashville,TN,36.1627,-86.7816,597,14,Richmond,VA,37.5407,-77.436,166,525.17,525.09,-431,-0.000155,45.07,11.65,7.0,1,2025-11-01,1.0
92,14,Richmond,VA,37.5407,-77.436,166,29,Memphis,TN,35.1495,-90.049,337,720.51,720.54,171,4.5e-05,44.98,16.02,9.61,2,2025-11-02,1.0
