route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,map_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
97,24,Cleveland,OH,41.4993,-81.6944,0.12367,15,Charleston,WV,38.3498,-81.6326,0.11307,217.64,217.63,-0.0106,-4.90E-05,45.02,4.83,2.9,1
98,15,Charleston,WV,38.3498,-81.6326,0.11307,27,Louisville,KY,38.2527,-85.7585,0.08826,223.8,223.77,-0.02481,-0.000111,45.05,4.97,2.98,1
99,27,Louisville,KY,38.2527,-85.7585,0.08826,15,Charleston,WV,38.3498,-81.6326,0.11307,223.8,223.82,0.02481,0.000111,44.95,4.98,2.98,1
100,16,Charlotte,NC,35.2271,-80.8431,0.14223,18,Columbia,SC,34.0007,-81.0348,0.0553,85.44,85.35,-0.08693,-0.001017,45.46,1.88,1.14,1
101,18,Columbia,SC,34.0007,-81.0348,0.0553,16,Charlotte,NC,35.2271,-80.8431,0.14223,85.44,85.52,0.08693,0.001017,44.54,1.92,1.14,1
102,16,Charlotte,NC,35.2271,-80.8431,0.14223,19,Atlanta,GA,33.749,-84.388,0.19886,226.22,226.28,0.05663,0.00025,44.89,5.04,3.02,1
103,19,Atlanta,GA,33.749,-84.388,0.19886,16,Charlotte,NC,35.2271,-80.8431,0.14223,226.22,226.17,-0.05663,-0.00025,45.11,5.01,3.02,1
104,16,Charlotte,NC,35.2271,-80.8431,0.14223,28,Nashville,TN,36.1627,-86.7816,0.11307,339.38,339.36,-0.02916,-8.60E-05,45.04,7.53,4.52,1
105,28,Nashville,TN,36.1627,-86.7816,0.11307,16,Charlotte,NC,35.2271,-80.8431,0.14223,339.38,339.41,0.02916,8.60E-05,44.96,7.55,4.53,1
106,16,Charlotte,NC,35.2271,-80.8431,0.14223,29,Memphis,TN,35.1495,-90.049,0.06382,519.68,519.6,-0.07841,-0.000151,45.07,11.53,6.93,1
107,29,Memphis,TN,35.1495,-90.049,0.06382,16,Charlotte,NC,35.2271,-80.8431,0.14223,519.68,519.76,0.07841,0.000151,44.93,11.57,6.93,1
108,17,Raleigh,NC,35.7796,-78.6382,0.05966,18,Columbia,SC,34.0007,-81.0348,0.0553,183.17,183.17,-0.00436,-2.40E-05,45.01,4.07,2.44,1
109,18,Columbia,SC,34.0007,-81.0348,0.0553,17,Raleigh,NC,35.7796,-78.6382,0.05966,183.17,183.17,0.00436,2.40E-05,44.99,4.07,2.44,1
110,17,Raleigh,NC,35.7796,-78.6382,0.05966,19,Atlanta,GA,33.749,-84.388,0.19886,355.17,355.3,0.1392,0.000392,44.82,7.93,4.74,1
111,19,Atlanta,GA,33.749,-84.388,0.19886,17,Raleigh,NC,35.7796,-78.6382,0.05966,355.17,355.03,-0.1392,-0.000392,45.18,7.86,4.73,1
112,17,Raleigh,NC,35.7796,-78.6382,0.05966,28,Nashville,TN,36.1627,-86.7816,0.11307,456,456.06,0.05341,0.000117,44.95,10.15,6.08,1
113,28,Nashville,TN,36.1627,-86.7816,0.11307,17,Raleigh,NC,35.7796,-78.6382,0.05966,456,455.95,-0.05341,-0.000117,45.05,10.12,6.08,1
114,17,Raleigh,NC,35.7796,-78.6382,0.05966,29,Memphis,TN,35.1495,-90.049,0.06382,643.26,643.26,0.00416,6.00E-06,45,14.3,8.58,2
115,29,Memphis,TN,35.1495,-90.049,0.06382,17,Raleigh,NC,35.7796,-78.6382,0.05966,643.26,643.25,-0.00416,-6.00E-06,45,14.29,8.58,2
116,18,Columbia,SC,34.0007,-81.0348,0.0553,19,Atlanta,GA,33.749,-84.388,0.19886,193.13,193.28,0.14356,0.000743,44.67,4.33,2.58,1
117,19,Atlanta,GA,33.749,-84.388,0.19886,18,Columbia,SC,34.0007,-81.0348,0.0553,193.13,192.99,-0.14356,-0.000743,45.33,4.26,2.57,1
118,19,Atlanta,GA,33.749,-84.388,0.19886,20,Jacksonville,FL,30.3322,-81.6557,0.00303,285.18,284.98,-0.19583,-0.000687,45.31,6.29,3.8,1
119,20,Jacksonville,FL,30.3322,-81.6557,0.00303,19,Atlanta,GA,33.749,-84.388,0.19886,285.18,285.37,0.19583,0.000687,44.69,6.39,3.8,1
120,19,Atlanta,GA,33.749,-84.388,0.19886,21,Miami,FL,25.7617,-80.1918,0.00114,606.39,606.19,-0.19772,-0.000326,45.15,13.43,8.08,2
121,21,Miami,FL,25.7617,-80.1918,0.00114,19,Atlanta,GA,33.749,-84.388,0.19886,606.39,606.59,0.19772,0.000326,44.85,13.52,8.09,2
122,19,Atlanta,GA,33.749,-84.388,0.19886,22,Orlando,FL,28.5383,-81.3792,0.01553,401.54,401.35,-0.18333,-0.000457,45.21,8.88,5.35,1
123,22,Orlando,FL,28.5383,-81.3792,0.01553,19,Atlanta,GA,33.749,-84.388,0.19886,401.54,401.72,0.18333,0.000457,44.79,8.97,5.36,1
124,19,Atlanta,GA,33.749,-84.388,0.19886,28,Nashville,TN,36.1627,-86.7816,0.11307,214.89,214.81,-0.08579,-0.000399,45.18,4.75,2.86,1
125,28,Nashville,TN,36.1627,-86.7816,0.11307,19,Atlanta,GA,33.749,-84.388,0.19886,214.89,214.98,0.08579,0.000399,44.82,4.8,2.87,1
126,19,Atlanta,GA,33.749,-84.388,0.19886,29,Memphis,TN,35.1495,-90.049,0.06382,336.69,336.55,-0.13504,-0.000401,45.18,7.45,4.49,1
127,29,Memphis,TN,35.1495,-90.049,0.06382,19,Atlanta,GA,33.749,-84.388,0.19886,336.69,336.83,0.13504,0.000401,44.82,7.52,4.49,1
